ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Subject,Section,Topic,Difficulty,Date,Shift
145,What is the effect of dilution on the freezing point of a solution?,Freezing point increases,Freezing point decreases,No effect,Depends on solute,B,Chemistry,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
146,What is the molality of a solution containing 15 g of NaCl in 300 g of water?,0.5 m,1.0 m,1.5 m,2.0 m,B,Chemistry,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
147,What is the molality of a solution containing 10 g of NaCl in 200 g of water?,0.5 m,1.0 m,1.5 m,2.0 m,B,Chemistry,Physical Chemistry,Solutions,Hard,28-05-2022,Shift 2
148,Which transition metal ion is colorless in aqueous solution?,Fe2+,Cu2+,Zn2+,Co2+,C,Chemistry,Inorganic Chemistry,d-Block Elements,Medium,28-05-2022,Shift 1
149,Calculate the change in entropy (ΔS) for a process where 100 J of heat is absorbed at a constant temperature of 298 K.,0.33 J/K,0.25 J/K,0.50 J/K,0.75 J/K,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,29-05-2022,Shift 1
150,What is the relationship between the rate of a reaction and concentration?,Directly proportional,Inversely proportional,No relationship,Exponential,A,Chemistry,Physical Chemistry,Chemical Kinetics,Hard,29-05-2022,Shift 1
151,Calculate the change in entropy (ΔS) for a process where 200 J of heat is absorbed at a constant temperature of 298 K.,0.67 J/K,0.50 J/K,0.75 J/K,0.80 J/K,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,29-05-2022,Shift 1
152,What is the significance of the Arrhenius equation?,Relates temperature to reaction rate,Relates pressure to reaction rate,Relates concentration to reaction rate,Relates volume to reaction rate,A,Chemistry,Physical Chemistry,Chemical Kinetics,Hard,30-05-2022,Shift 2
153,"What is the equilibrium constant (Kp) for the reaction: N2(g) + 3H2(g) -> 2NH3(g) if the partial pressures at equilibrium are P(N2) = 0.5 atm, P(H2) = 1.5 atm, and P(NH3) = 2.0 atm?",0.25,0.5,1,2,C,Chemistry,Physical Chemistry,Chemical Equilibrium,Hard,30-05-2022,Shift 2
154,"Calculate the heat released when 2 moles of water are formed from the reaction of hydrogen and oxygen, given ?Hf for water is -285.8 kJ/mol.",-571.6 kJ,-285.8 kJ,-142.9 kJ,-1000 kJ,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,31-05-2022,Shift 1
155,"Calculate the heat released when 3 moles of water are formed from the reaction of hydrogen and oxygen, given ?Hf for water is -285.8 kJ/mol.",-857.4 kJ,-285.8 kJ,-428.7 kJ,-1000 kJ,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,31-05-2022,Shift 1
156,What is the effect of increasing temperature on the equilibrium constant?,Increases K,Decreases K,No effect,Depends on reaction,A,Chemistry,Physical Chemistry,Chemical Equilibrium,Hard,31-05-2022,Shift 1
157,What is the relationship between enthalpy and internal energy?,ΔH = ΔU + PΔV,ΔH = ΔU - PΔV,ΔH = ΔU,ΔH = ΔU + ΔS,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,01-06-2022,Shift 2
158,What is the standard enthalpy change (ΔHｰ) for the reaction: C + O2 -> CO2 if the enthalpy of formation of CO2 is -393.5 kJ/mol?,-393.5 kJ,393.5 kJ,0 kJ,-285.8 kJ,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,01-06-2022,Shift 2
159,What is the product of the reaction between 2-pentanol and H2SO4?,2-Pentene,1-Pentene,3-Pentene,No reaction,A,Chemistry,Organic Chemistry,Alcohols & Phenols,Hard,01-06-2022,Shift 1
160,What is the significance of the Gibbs-Helmholtz equation?,Relates ΔG to ΔH and T,Relates ΔG to ΔS and T,Relates ΔH to T and S,All of the above,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,02-06-2022,Shift 1
161,What is the major product of the reaction between benzaldehyde and an amine?,Imine,Enamine,Amide,Alcohol,A,Chemistry,Organic Chemistry,Aldehydes & Ketones,Hard,02-06-2022,Shift 2
162,What is the effect of pressure on the solubility of gases in liquids?,Increases solubility,Decreases solubility,No effect,Depends on temperature,A,Chemistry,Physical Chemistry,Solutions,Hard,03-06-2022,Shift 2
163,Calculate the degree of unsaturation in C9H10.,4,5,6,7,B,Chemistry,Organic Chemistry,Hydrocarbons,Hard,03-06-2022,Shift 1
164,What is the IUPAC name of the compound with the formula C6H12O?,Hexanal,2-Hexanol,3-Hexanol,1-Hexanol,B,Chemistry,Organic Chemistry,Functional Groups,Hard,04-06-2022,Shift 2
165,Which of the following compounds can undergo electrophilic substitution?,Toluene,Cyclohexane,Both A and B,Neither A nor B,A,Chemistry,Organic Chemistry,Aromatic Compounds,Hard,05-06-2022,Shift 1
166,What is the mechanism of the reaction between an alkene and H2 in the presence of a catalyst?,Hydrogenation,Electrophilic addition,Nucleophilic substitution,Elimination,A,Chemistry,Organic Chemistry,Alkenes and Alkynes,Hard,06-06-2022,Shift 2
167,What is the major product of the reaction between 1-hexene and HBr?,1-Bromohexane,2-Bromohexane,3-Bromohexane,No reaction,B,Chemistry,Organic Chemistry,Alkenes and Alkynes,Hard,07-06-2022,Shift 1
168,What is the product of the reaction between an alcohol and a carboxylic acid in the presence of an acid catalyst?,Ester,Ether,Aldehyde,Ketone,A,Chemistry,Organic Chemistry,Alcohols & Phenols,Hard,08-06-2022,Shift 2
169,What is the hybridization of the carbon atom in acetylene (C2H2)?,sp,sp2,sp3,sp3d,A,Chemistry,Organic Chemistry,Chemical Bonding,Hard,09-06-2022,Shift 1
170,What is the major product of the reaction between phenol and acetic anhydride?,Acetophenone,Phenyl acetate,2-Hydroxyacetophenone,No reaction,A,Chemistry,Organic Chemistry,Aromatic Compounds,Hard,10-06-2022,Shift 2
171,What is the IUPAC name of the compound with the formula C5H10?,Pentene,2-Pentene,Pentanol,1-Pentanol,B,Chemistry,Organic Chemistry,Hydrocarbons,Hard,13-06-2022,Shift 1
172,What is the oxidation state of chromium in CrO3?,2,3,6,7,C,Chemistry,Inorganic Chemistry,Redox Reactions,Hard,14-06-2022,Shift 1
173,What is the coordination number of the central atom in [Fe(CN)6]n-?,4,6,8,2,B,Chemistry,Inorganic Chemistry,Coordination Compounds,Hard,16-06-2022,Shift 1
174,What is the oxidation state of manganese in MnO4??,2,4,6,7,D,Chemistry,Inorganic Chemistry,Redox Reactions,Hard,19-06-2022,Shift 2
175,What is the coordination number of the central atom in [Ni(CN)4]2-?,4,6,2,8,A,Chemistry,Inorganic Chemistry,Coordination Compounds,Hard,22-06-2022,Shift 1
176,What is the hybridization of the central atom in [Cu(NH3)4]2-?,sp2,sp3,sp3d,sp3d2,B,Chemistry,Inorganic Chemistry,Coordination Compounds,Hard,23-06-2022,Shift 2
177,Calculate the pH of a 0.05 M HCl solution.,1,1.3,1.7,2,B,Chemistry,Physical Chemistry,Acids & Bases,Hard,26-06-2022,Shift 1
178,What is the molarity of a solution containing 15 g of NaCl in 250 mL of solution?,0.5 M,0.75 M,1.0 M,1.5 M,A,Chemistry,Physical Chemistry,Solutions,Hard,27-06-2022,Shift 2
179,What is the rate constant (k) for a first-order reaction if the half-life (t1/2) is 15 minutes?,0.0462 min-1,0.0693 min-1,0.1 min-1,0.5 min-1,A,Chemistry,Physical Chemistry,Chemical Kinetics,Hard,29-06-2022,Shift 2
180,Calculate the freezing point depression (ΔTf) for a solution of 3 moles of NaCl in 1 kg of water (Kf for water = 1.86 ｰC kg/mol).,5.58 0C,3.72 0C,1.86 0C,4.32 0C,A,Chemistry,Physical Chemistry,Solutions,Hard,30-06-2022,Shift 1
181,What is the vapor pressure of a solution containing 30 g of glucose in 300 g of water at 25 0C (Vapor pressure of pure water = 23.76 mmHg)?,22.0 mmHg,20.5 mmHg,21.0 mmHg,21.5 mmHg,A,Chemistry,Physical Chemistry,Solutions,Hard,01-07-2022,Shift 2
182,"Calculate the equilibrium constant (Kc) for the reaction: 2NO(g) + O2(g) -> 2NO2(g) if the concentrations at equilibrium are [NO] = 0.4 M, [O2] = 0.1 M, and [NO2] = 0.8 M.",8,4,2,1,A,Chemistry,Physical Chemistry,Chemical Equilibrium,Hard,02-07-2022,Shift 1
183,What is the pH of a 0.2 M solution of KOH?,12,13,14,11,B,Chemistry,Physical Chemistry,Acids & Bases,Hard,03-07-2022,Shift 2
184,Calculate the molar mass of a gas if 2 g of the gas occupies 1 L at 1 atm and 273 K.,44.8 g/mol,22.4 g/mol,11.2 g/mol,5.6 g/mol,A,Chemistry,Physical Chemistry,Gaseous State,Hard,04-07-2022,Shift 1
185,What is the change in internal energy (ΔU) for a system that absorbs 200 J of heat and does 80 J of work on the surroundings?,120 J,80 J,-120 J,-80 J,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,05-07-2022,Shift 2
186,Calculate the standard Gibbs free energy change (ΔGｰ) at 298 K for the reaction: A -> B if K = 0.1.,2.30 kJ/mol,-2.30 kJ/mol,0 kJ/mol,-1.61 kJ/mol,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,06-07-2022,Shift 1
187,What is the heat of reaction (ΔH) for the combustion of 2 moles of propane (C3H8) if the enthalpy of formation of CO2 and H2O are -393.5 kJ/mol and -241.8 kJ/mol respectively?,-2200 kJ,-2000 kJ,-1800 kJ,-1600 kJ,A,Chemistry,Physical Chemistry,Thermodynamics,Hard,07-07-2022,Shift 2
188,Calculate the concentration of H+ ions in a solution with a pH of 1.,0.1 M,0.01 M,1 M,0.001 M,A,Chemistry,Physical Chemistry,Acids & Bases,Hard,08-07-2022,Shift 1
189,What is the molality of a solution containing 20 g of NaCl in 500 g of water?,0.5 m,1.0 m,1.5 m,2.0 m,B,Chemistry,Physical Chemistry,Solutions,Hard,09-07-2022,Shift 2
190,Calculate the change in entropy (ΔS) for a process where 150 J of heat is absorbed at a constant temperature of 298 K.,0.50 J/K,0.75 J/K,0.33 J/K,0.67 J/K,D,Chemistry,Physical Chemistry,Thermodynamics,Hard,10-07-2022,Shift 1
191,What is the functional group in aldehydes?,#NAME?, -COOH, -CHO, -CO,C,Chemistry,Organic Chemistry,Aldehydes and Ketones,Easy,05-05-2023,Shift 1
192,Which of the following is an example of heterogeneous catalysis?,Decomposition of H2O2 by KI,Combustion of methane,Ozone depletion by CFCs,Rusting of iron,A,Chemistry,Physical Chemistry,Chemical Kinetics,Medium,05-05-2023,Shift 2
193,Which of the following has the highest boiling point?,CH4,C2H5OH,C2H6,C3H8,B,Chemistry,Physical Chemistry,States of Matter,Medium,05-05-2023,Shift 1
194,Which gas is evolved when zinc reacts with dilute HCl?,O2,H2,CO2,Cl2,B,Chemistry,Organic Chemistry,Metals & Non-Metals,Easy,06-05-2023,Shift 2
195,Which polymer is used in non-stick cookware?,PVC,Teflon,Nylon,Bakelite,B,Chemistry,Organic Chemistry,Polymers,Easy,06-05-2023,Shift 2
196,Which type of reaction occurs when ethene reacts with Br2?,Substitution,Addition,Elimination,Rearrangement,B,Chemistry,Organic Chemistry,Alkenes and Alkynes,Easy,06-05-2023,Shift 2
197,Which element has the highest first ionization energy?,Na,K,F,Li,C,Chemistry,Inorganic Chemistry,Periodic Table,Medium,07-05-2023,Shift 1
198,Which of the following is a reducing sugar?,Sucrose,Lactose,Maltose,Fructose,B,Chemistry,Organic Chemistry,Biomolecules,Medium,08-05-2023,Shift 1
199,Which among the following is an example of an electrophile?,NH3,H2O,BF3,C2H6,C,Chemistry,Organic Chemistry,Reaction Mechanism,Easy,08-05-2023,Shift 1
200,Which compound is used as an antacid?,NaHCO3,HCl,H2SO4,NaOH,A,Chemistry,Inorganic Chemistry,Acids & Bases,Easy,08-05-2023,Shift 2
201,Which of the following is an example of a biodegradable polymer?,Polystyrene,Polyvinyl chloride,Polyethylene,Polyhydroxybutyrate,D,Chemistry,Organic Chemistry,Polymers,Medium,09-05-2023,Shift 2
202,Which of the following is an example of a homogeneous catalyst?,Fe in Haber process,Pt in Ostwald process,Ni in hydrogenation,V2O5 in Contact process,B,Chemistry,Physical Chemistry,Catalysis,Medium,09-05-2023,Shift 1
203,What is the hybridization of carbon in ethene?,sp,sp2,sp3,None,B,Chemistry,Organic Chemistry,Chemical Bonding,Easy,10-05-2023,Shift 1
204,Which of the following compounds is most basic?,Aniline,Pyridine,Ammonia,Ethylamine,D,Chemistry,Organic Chemistry,Amines,Medium,10-05-2023,Shift 1
205,Which of the following has the highest conductivity?,Ag,Cu,Al,Fe,A,Chemistry,Inorganic Chemistry,Metallurgy,Easy,11-05-2023,Shift 2
206,Which acid is present in vinegar?,Lactic acid,Acetic acid,Formic acid,Citric acid,B,Chemistry,Organic Chemistry,Acids & Bases,Easy,11-05-2023,Shift 1
207,What is the coordination number of Na+ in NaCl crystal?,4,6,8,12,B,Chemistry,Inorganic Chemistry,Solid State,Easy,12-05-2023,Shift 1
208,Which of the following compounds contains an sp-hybridized carbon?,Ethene,Ethyne,Benzene,Cyclohexane,B,Chemistry,Organic Chemistry,Hybridization,Medium,12-05-2023,Shift 2
209,What is the major product when 2-bromopropane reacts with alcoholic KOH?,Propene,1-Butene,2-Butene,1-Hexene,B,Chemistry,Organic Chemistry,Elimination Reactions,Medium,13-05-2023,Shift 1
210,Which gas is liberated when an acid reacts with a metal?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,B,Chemistry,Inorganic Chemistry,Acid-Base Reactions,Easy,14-05-2023,Shift 1
211,Which of the following is a molecular crystal?,NaCl,Diamond,Ice,Copper,C,Chemistry,Inorganic Chemistry,Solid State,Medium,14-05-2023,Shift 2
212,What is the major product formed when benzene reacts with CH3Cl in the presence of AlCl3?,Chlorobenzene,Toluene,Benzyl chloride,Phenol,B,Chemistry,Organic Chemistry,Haloalkanes and Haloarenes,Medium,14-05-2023,Shift 2
213,Which polymer is formed by the polymerization of ethene?,Polyvinyl chloride,Polystyrene,Polythene,Bakelite,C,Chemistry,Organic Chemistry,Polymers,Medium,15-05-2023,Shift 1
214,Which of the following is NOT an extensive property?,Density,Molar mass,Pressure,Temperature,C,Chemistry,Physical Chemistry,Thermodynamics,Medium,16-05-2023,Shift 2
215,Which of the following is the most stable carbocation?,Primary,Secondary,Tertiary,Allylic,C,Chemistry,Organic Chemistry,Reaction Intermediates,Hard,17-05-2023,Shift 1
216,What is the bond order of O2 molecule?,1,2,3,4,B,Chemistry,Physical Chemistry,Molecular Orbital Theory,Medium,18-05-2023,Shift 2
217,Which of the following metals reacts with cold water?,Cu,Na,Ca,Mg,B,Chemistry,Inorganic Chemistry,Metals,Easy,19-05-2023,Shift 1
218,Which law states that energy can neither be created nor destroyed?,Boyle's Law,Dalton's Law,Law of conservation of energy,Avogadro's Law,C,Chemistry,Physical Chemistry,Thermodynamics,Medium,20-05-2023,Shift 2
219,Which of the following gases does not show the Joule-Thomson effect?,H2,He,N2,Ne,B,Chemistry,Physical Chemistry,Gaseous State,Easy,21-05-2023,Shift 1
220,Which of the following solutions will have the lowest freezing point?,0.1M NaCl,0.1M KCl,0.1M MgCl2,0.1M AlCl3,D,Chemistry,Physical Chemistry,Solutions,Medium,22-05-2023,Shift 2
221,Which of the following is an amphoteric oxide?,MgO,ZnO,Al2O3,SiO2,B,Chemistry,Inorganic Chemistry,Oxides,Hard,23-05-2023,Shift 1
222,What is the coordination number of Na+ in NaCl crystal?,6,4,8,12,B,Chemistry,Physical Chemistry,Crystal Structures,Medium,24-05-2023,Shift 2
223,Which metal is commonly used in galvanization?,Zn,Fe,Pb,Al,B,Chemistry,Inorganic Chemistry,Metallurgy,Easy,26-05-2023,Shift 2
224,What is the IUPAC name of CH3COCH3?,Acetone,Ethanone,Methanone,Propanone,D,Chemistry,Organic Chemistry,Organic Compounds,Easy,27-05-2023,Shift 1
225,Which process is used to purify silicon for semiconductor applications?,Electrolysis,Zone refining,Hydrolysis,Distillation,B,Chemistry,Inorganic Chemistry,Purification Techniques,Medium,28-05-2023,Shift 2
226,Which of the following alcohols will dehydrate most easily?,Methanol,Propanol,Butanol,Pentanol,B,Chemistry,Organic Chemistry,Alcohols & Phenols,Medium,29-05-2023,Shift 1
227,Which of the following has the highest dipole moment?,CO2,O2,CH4,H2O,C,Chemistry,Physical Chemistry,Dipole Moments,Medium,30-05-2023,Shift 2
228,Which of the following is NOT a greenhouse gas?,O3,N2,CO,SO2,C,Chemistry,Inorganic Chemistry,Environmental Chemistry,Medium,31-05-2023,Shift 1
229,What is the common name of CHCl3?,Formalin,Chloroform,Benzene,Carbon tetrachloride,D,Chemistry,Organic Chemistry,Common Names,Easy,01-06-2023,Shift 2
230,Which of the following has the highest lattice energy?,MgO,NaCl,Al2O3,CsCl,B,Chemistry,Inorganic Chemistry,Lattice Energy,Hard,02-06-2023,Shift 1
231,Which vitamin deficiency causes rickets?,Vitamin A,Vitamin D,Vitamin C,Vitamin B12,B,Chemistry,Organic Chemistry,Biomolecules,Easy,03-06-2023,Shift 2
232,What is the IUPAC name of CH3CH2OH?,Methanol,Ethanol,Propanol,Butanol,B,Chemistry,Organic Chemistry,Alcohols,Easy,02-05-2024,Shift 2
233,Which quantum number determines the shape of an orbital?,Principal quantum number,Azimuthal quantum number,Magnetic quantum number,Spin quantum number,B,Chemistry,Physical Chemistry,Atomic Structure,Easy,02-05-2024,Shift 1
234,Which of the following solutions has the highest boiling point?,0.1 M NaCl,0.1 M glucose,0.1 M urea,0.1 M CaCl2,D,Chemistry,Physical Chemistry,Solutions,Medium,02-05-2024,Shift 2
235,Which law states that the total entropy of an isolated system always increases?,Boyle's Law,First Law of Thermodynamics,Second Law of Thermodynamics,Third Law of Thermodynamics,C,Chemistry,Physical Chemistry,Thermodynamics,Medium,03-05-2024,Shift 2
236,Which of these metals has an HCP crystal structure?,Fe,Cu,Zn,Al,C,Chemistry,Physical Chemistry,Solid State,Medium,03-05-2024,Shift 1
237,Which of the following has the highest bond energy?,F2,Cl2,Br2,I2,B,Chemistry,Inorganic Chemistry,Chemical Bonding,Medium,03-05-2024,Shift 1
238,"In the electrolysis of aqueous NaCl, which ions are discharged at the cathode?",Na+,Cl-,H+,OH-,C,Chemistry,Physical Chemistry,Electrochemistry,Easy,03-05-2024,Shift 1
239,Which of the following compounds is used as an oxidizing agent?,KMnO4,KCl,KBr,KI,A,Chemistry,Inorganic Chemistry,Coordination Chemistry,Medium,04-05-2024,Shift 1
240,Which polymer is made from ethene?,Nylon-6,Teflon,Polyethene,PVC,C,Chemistry,Organic Chemistry,Polymers,Medium,04-05-2024,Shift 1
241,What is the oxidation state of Fe in Fe2O3?,2,3,4,6,B,Chemistry,Inorganic Chemistry,Redox Reactions,Easy,04-05-2024,Shift 2
242,Which colligative property is used to determine the molar mass of a solute?,Viscosity,Surface tension,Osmotic pressure,Refractive index,C,Chemistry,Physical Chemistry,Solutions,Medium,04-05-2024,Shift 1
243,Which of the following is a characteristic property of noble gases?,High reactivity,Low boiling points,Forming strong bonds,High electronegativity,B,Chemistry,Inorganic Chemistry,Periodic Table,Easy,05-05-2024,Shift 1
244,Which of the following gases is used in welding?,Helium,Nitrogen,Acetylene,Oxygen,C,Chemistry,Inorganic Chemistry,Industrial Chemistry,Easy,07-05-2024,Shift 2
245,Which of the following is a correct order of acidic strength?,HF > HCl > HBr > HI,HI > HBr > HCl > HF,HCl > HF > HBr > HI,HBr > HI > HF > HCl,B,Chemistry,Inorganic Chemistry,Acid-Base Chemistry,Medium,07-05-2024,Shift 1
246,Which of the following is a primary alcohol?,Methanol,Isopropanol,Tert-butanol,Benzyl alcohol,A,Chemistry,Organic Chemistry,"Alcohols, Phenols and Ethers",Medium,08-05-2024,Shift 1
247,Which of the following is a noble gas?,O2,N2,He,H2,C,Chemistry,Inorganic Chemistry,Noble Gases,Easy,09-05-2024,Shift 2
248,Which of the following is an example of an aromatic compound?,Cyclohexane,Benzene,Hexane,Butane,B,Chemistry,Organic Chemistry,Aromaticity,Medium,09-05-2024,Shift 2
249,The rate constant of a first-order reaction is 0.693 min-1. What is its half-life?,0.1 min,1 min,10 min,100 min,B,Chemistry,Physical Chemistry,Chemical Kinetics,Medium,09-05-2024,Shift 2
250,Which of the following will have the highest boiling point?,1-Butanol,2-Butanol,2-Methylpropan-2-ol,Ethanol,A,Chemistry,Organic Chemistry,"Alcohols, Phenols and Ethers",Medium,09-05-2024,Shift 1
251,Which of the following compounds has the highest lattice energy?,NaCl,MgO,Al2O3,KCl,B,Chemistry,Inorganic Chemistry,Solid State,Medium,10-05-2024,Shift 1
252,What is the main product when ethanol is heated with excess concentrated H2SO4 at 1700C?,Ethene,Ethanol,Diethyl ether,Methanol,A,Chemistry,Organic Chemistry,Alcohols,Medium,13-05-2024,Shift 2
253,Which reagent is used to test for aldehydes?,Tollens',Benedict's,Fehling's,All of these,D,Chemistry,Organic Chemistry,Aldehydes & Ketones,Easy,13-05-2024,Shift 1
254,A gas obeys van der Waals equation. Which statement is false?,It has intermolecular forces.,Its molecules have finite volume.,It follows ideal gas law always.,It undergoes liquefaction.,C,Chemistry,Physical Chemistry,Gaseous State,Medium,13-05-2024,Shift 1
255,What is the oxidation state of Cr in K2Cr2O7?,2,3,6,7,C,Chemistry,Inorganic Chemistry,Redox Reactions,Medium,13-05-2024,Shift 2
256,Which functional group is present in acetone?,Aldehyde,Ketone,Carboxyl,Ester,B,Chemistry,Organic Chemistry,Functional Groups,Easy,14-05-2024,Shift 1
257,What type of isomerism is shown by but-2-ene and but-1-ene?,Chain,Functional,Geometrical,Optical,C,Chemistry,Organic Chemistry,Isomerism,Medium,14-05-2024,Shift 1
258,Which reagent is used to distinguish between aldehydes and ketones?,Tollens reagent,Fehling's reagent,Benedict's reagent,Lucas reagent,A,Chemistry,Organic Chemistry,Aldehydes & Ketones,Medium,15-05-2024,Shift 2
259,Which type of colloid is formed when a liquid is dispersed in a solid?,Gel,Emulsion,Sol,Foam,B,Chemistry,Physical Chemistry,Colloids,Medium,17-05-2024,Shift 2
260,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin C,Vitamin D,Vitamin B12,B,Chemistry,Organic Chemistry,Biomolecules,Easy,18-05-2024,Shift 1
261,Which metal is extracted using the electrolytic reduction method?,Fe,Cu,Al,Zn,B,Chemistry,Inorganic Chemistry,Metallurgy,Medium,19-05-2024,Shift 2
262,Which of the following is a secondary alcohol?,Methanol,Propanol,Propan-2-ol,Butanol,C,Chemistry,Organic Chemistry,Alcohols,Easy,20-05-2024,Shift 1
263,What is the general formula of alkenes?,CnH2n+2,CnH2n,CnH2n-2,CnH2nO2,B,Chemistry,Organic Chemistry,Hydrocarbons,Medium,21-05-2024,Shift 2
264,Which of the following compounds gives a positive iodoform test?,Methanol,Ethanol,Acetone,Ethanoic acid,C,Chemistry,Organic Chemistry,Aldehydes & Ketones,Medium,22-05-2024,Shift 1
265,Which type of reaction is involved in the polymerization of ethene?,Addition,Condensation,Elimination,Oxidation,A,Chemistry,Organic Chemistry,Polymers,Medium,23-05-2024,Shift 2
266,Which of the following gases is used in the Haber process for ammonia synthesis?,Oxygen,Hydrogen,Nitrogen,Argon,B,Chemistry,Inorganic Chemistry,Industrial Chemistry,Easy,24-05-2024,Shift 1
267,If three equal masses m are placed at the three vertices of an equilateral triangle of side 1/m what force acts on a particle of mass 2m placed at the centroid?,Gm2,2Gm2,Zero,(-Gm2),C,Physics,Mechanics,Gravitation,Medium,19-Oct-20,Shift 1
268,"Let x= π*R(P2-Q^2/2), where P, Q and R are lengths. The physical quantity x is",area,length,volume,velocity,C,Physics,Mechanics,Units & Measurement and Dimensions,Easy,19-Oct-20,Shift 2
269,"Let force F=A sin(Ct) + B cos(Dx), where x and t are displacement and time, respectively. The dimensions of C/D are same as dimensions of",angular velocity,velocity,angular momentum,velocity gradient,D,Physics,Mechanics,Units & Measurement and Dimensions,Easy,16-Oct-20,Shift 1
270,[L^2M^1T^-2] are the dimensions of,torque,force,angular acceleration,angular momentum,A,Physics,Mechanics,Units & Measurement and Dimensions,Easy,03-May-19,Shift 1
271,The force ' F ' acting on a body of density ' d ' are related by the relation F=y/?d. The dimensions of ' y ' are,[L^-1/2M^3/2T^-2],[L^-1M^1/2T^-2],[L^-1M^3/2T^-2],[L^-1/2M^1/2T^-2,A,Physics,Mechanics,Units & Measurement and Dimensions,Medium,02-May-19,Shift 2
272,The dimensions of self or mutual inductance are given as,[L^-2M^1T^-2I^-2],[L^2M^2T^-2I^-2],[L^2M^1T^-2I^-2],[L^2M^2T^-2I^-2],C,Physics,Mechanics,Units & Measurement and Dimensions,Medium,02-May-19,Shift 2
273,The ratio of the dimensions of Planck's constant to that of moment of inertia is the dimensions of,angular momentum,velocity,frequency,time,C,Physics,Mechanics,Units & Measurement and Dimensions,Easy,02-May-19,Shift 2
274,Dimensions of Gyromagnetic ratio are,[L^1M^0T^1I^1],[L^0M^-1T^1I^1],[L^1M^0T^0I^-1],[L^-1M^0T^1I^1],B,Physics,Mechanics,Units & Measurement and Dimensions,Easy,02-May-19,Shift 1
275,"Three point masses, each of mass 'm' are kept at the corners of an equilateral triangle of side 'L'. The system rotates about the centre of the triangle without any change in the separation of masses during rotation. The period of rotation is directly proportional to 
 (cos 30° = ?3/2)",L,L^1/2,L^3/2,L^-2,C,Physics,Mechanics,Gravitation,Hard,24-Sep-21,Shift 2
276,A body travelling with uniform acceleration crosses two points A and B with velocities 20 m/s and 30 m/s respectively. The speed of the body at mid point of A and B is (nearly),25 m/s,25.5 m/s,24 m/s,10 ?6 m/s,B,Physics,Mechanics,Motion,Easy,16-May-24,Shift 2
277,A ball is released from the top of a tower of height Hm . It takes T second to reach the ground. The height of the ball from the ground after T/4 second is,13H/14,15H/16,11H/12,9H/10,B,Physics,Mechanics,Motion,Medium,15-May-24,Shift 2
278,Two cars start from a point at the same time in a straight line and their positions are represented by x1(t)=at+bt^2 and x2(t)=Ft-t^2. At what time do the cars have the same velocity?,a+F/2(b-1),a-F/1+b,a+F/2(1+b),F - a/2(1+b),D,Physics,Mechanics,Motion,Medium,11-May-24,Shift 2
279,A bullet is fired on a target with velocity V. Its velocity decreases from V to V/2. When it penetrates 30 cm in a target. Through what thickness it will penetrate further in the target before coming to rest?,5 cm,8 cm,10 cm,12 cm,C,Physics,Mechanics,Motion,Easy,11-May-24,Shift 1
280,A vehicle runs on a straight road of length 'L'. It travels half the distance with speed V and the remaining distance with speed V/3.Its average speed is,3 V/2,V,V/2,2V/3,C,Physics,Mechanics,Motion,Easy,10-May-24,Shift 2
281,The ratio of weight of a man in a stationery lift and weight when the lift is moving downward with a uniform acceleration 'a' is 3:2.Then the value of 'a' is,(3/2)*g,g/3,(2/3)g,g,D,Physics,Mechanics,Motion,Easy,04-May-24,Shift 1
282,"For a projectile, the maximum height and horizontal range are same. The angle of projection '?' of the projectile is",tan-1(1/2),tan-1(2),tan-1(1/4),tan-1(4),D,Physics,Mechanics,Motion,Medium,04-May-24,Shift 1
283,Which of the following person is in an inertial frame of reference?,A pilot in an aeroplane which is taking off.,A child revolving in a merry-go-round.,A driver in a bus which is moving with constant velocity.,A man in a train which is slowing down to stop.,C,Physics,Mechanics,Motion,Easy,04-May-25,Shift 1
284,"A driver applies the brakes on seeing the red traffic signal 400 m ahead. At the time of applying brakes, the vehicle was moving with 15 m/s and retarding at 0.3 m/s2. The distance covered by the vehicle from the traffic light one minute after application of brakes is",375 m,360 m,40 m,25 m,D,Physics,Mechanics,Motion,Medium,02-May-24,Shift 2
285,The acceleration of a moving body can be found from,area under velocity - time graph,area under distance - time graph,slope of the velocity - time graph,slope of the distance - time graph,C,Physics,Mechanics,Motion,Easy,02-May-24,Shift 1
286,The position 'x' of a particle varies with a time as x= at2-bt3 where 'a' and 'b' are constants. The acceleration of the particle will be zero at,2a/3 b,a/b,a/3b,zero,C,Physics,Mechanics,Motion,Medium,14-May-23,Shift 2
